43	['2007.03', 'Corporate business enterprises', '141', 'Financial liabilities Closing balance other accounts payable', 'LE00000', 'AFL0800', '48298']

44	['2007.03', 'Corporate business enterprises', '141', 'Financial assets Closing balance produced non-financial assets', 'LE00000', 'AN10000', '209773']

45	['2007.03', 'Corporate business enterprises', '141', 'Financial assets Closing balance non-produced non-financial assets', 'LE00000', 'AN20000', '162744']

46	['2007.03', 'Corporate business enterprises', '141', 'Closing balance net worth', 'LE00000', 'B900000', '-15763']

47	['2007.03', 'Corporate business enterprises', '141', 'Closing balance total liabilities and net worth', 'LE00000', 'L000000', '567352']

48	['2007.03', 'Central bank', '211', 'Closing balance total assets', 'LE00000', 'A000000', '20719']

49	['2007.03', 'Central bank', '211', 'Financial assets Closing balance total financial and non-financial assets', 'LE00000', 'AFA0000', '20663']

50	['2007.03', 'Central bank', '211', 'Financial assets Closing balance monetary gold and special drawing rights', 'LE00000', 'AFA0100', '0']

51	['2007.03', 'Central bank', '211', 'Financial assets Closing balance currency and deposits', 'LE00000', 'AFA0200', '446']

52	['2007.03', 'Central bank', '211', 'Financial assets Closing balance debt securities', 'LE00000', 'AFA0300', '15368']

53	['2007.03', 'Central bank', '211', 'Financial assets Closing balance loans', 'LE00000', 'AFA0400', '4313']

54	['2007.03', 'Central bank', '211', 'Financial assets Closing balance equity and investment fund shares', 'LE00000', 'AFA0500', '102']

55	['2007.03', 'Central bank', '211', 'Financial assets Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFA0600', '0']

56	['2007.03', 'Central bank', '211', 'Financial assets Closing balance financial derivatives and employee stock options', 'LE00000', 'AFA0700', '395']

57	['2007.03', 'Central bank', '211', 'Financial assets Closing balance other accounts receivable', 'LE00000', 'AFA0800', '39']

58	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance total financial liabilities', 'LE00000', 'AFL0000', '20719']

59	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance monetary gold and special drawing rights', 'LE00000', 'AFL0100', '0']

60	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance currency and deposits', 'LE00000', 'AFL0200', '13531']

61	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance debt securities', 'LE00000', 'AFL0300', '0']

62	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance loans', 'LE00000', 'AFL0400', '5182']

63	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance equity and investment fund shares', 'LE00000', 'AFL0500', '1609']

64	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFL0600', '0']

65	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance financial derivatives and employee stock options', 'LE00000', 'AFL0700', '0']

66	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance other accounts payable', 'LE00000', 'AFL0800', '397']

67	['2007.03', 'Central bank', '211', 'Financial assets Closing balance produced non-financial assets', 'LE00000', 'AN10000', '42']

68	['2007.03', 'Central bank', '211', 'Financial assets Closing balance non-produced non-financial assets', 'LE00000', 'AN20000', '14']

69	['2007.03', 'Central bank', '211', 'Closing balance net worth', 'LE00000', 'B900000', '0']

70	['2007.03', 'Central bank', '211', 'Closing balance total liabilities and net worth', 'LE00000', 'L000000', '20719']

71	['2007.03', 'Registered banks', '221', 'Closing balance total assets', 'LE00000', 'A000000', '300264']

72	['2007.03', 'Registered banks', '221', 'Financial assets Closing balance total financial and non-financial assets', 'LE00000', 'AFA0000', '293582']

73	['2007.03', 'Registered banks', '221', 'Financial assets Closing balance monetary gold and special drawing rights', 'LE00000', 'AFA0100', '0']

74	['2007.03', 'Registered banks', '221', 'Financial assets Closing balance currency and deposits', 'LE00000', 'AFA0200', '11993']

75	['2007.03', 'Registered banks', '221', 'Financial assets Closing balance debt securities', 'LE00000', 'AFA0300', '16493']

76	['2007.03', 'Registered banks', '221', 'Financial assets Closing balance loans', 'LE00000', 'AFA0400', '253893']

77	['2007.03', 'Registered banks', '221', 'Financial assets Closing balance equity and investment fund shares', 'LE00000', 'AFA0500', '378']

78	['2007.03', 'Registered banks', '221', 'Financial assets Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFA0600', '..']

79	['2007.03', 'Registered banks', '221', 'Financial assets Closing balance financial derivatives and employee stock options', 'LE00000', 'AFA0700', '8104']

80	['2007.03', 'Registered banks', '221', 'Financial assets Closing balance other accounts receivable', 'LE00000', 'AFA0800', '2721']

81	['2007.03', 'Registered banks', '221', 'Financial liabilities Closing balance total financial liabilities', 'LE00000', 'AFL0000', '318750']

82	['2007.03', 'Registered banks', '221', 'Financial liabilities Closing balance monetary gold and special drawing rights', 'LE00000', 'AFL0100', '0']

83	['2007.03', 'Registered banks', '221', 'Financial liabilities Closing balance currency and deposits', 'LE00000', 'AFL0200', '161122']

84	['2007.03', 'Registered banks', '221', 'Financial liabilities Closing balance debt securities', 'LE00000', 'AFL0300', '86031']

85	['2007.03', 'Registered banks', '221', 'Financial liabilities Closing balance loans', 'LE00000', 'AFL0400', '29196']

86	['2007.03', 'Registered banks', '221', 'Financial liabilities Closing balance equity and investment fund shares', 'LE00000', 'AFL0500', '30897']

87	['2007.03', 'Registered banks', '221', 'Financial liabilities Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFL0600', '0']

88	['2007.03', 'Registered banks', '221', 'Financial liabilities Closing balance financial derivatives and employee stock options', 'LE00000', 'AFL0700', '8845']

89	['2007.03', 'Registered banks', '221', 'Financial liabilities Closing balance other accounts payable', 'LE00000', 'AFL0800', '2659']

90	['2007.03', 'Registered banks', '221', 'Financial assets Closing balance produced non-financial assets', 'LE00000', 'AN10000', '2082']

91	['2007.03', 'Registered banks', '221', 'Financial assets Closing balance non-produced non-financial assets', 'LE00000', 'AN20000', '4600']

92	['2007.03', 'Registered banks', '221', 'Closing balance net worth', 'LE00000', 'B900000', '-18486']

93	['2007.03', 'Registered banks', '221', 'Closing balance total liabilities and net worth', 'LE00000', 'L000000', '300264']

94	['2007.03', 'Other depository institutions', '222', 'Closing balance total assets', 'LE00000', 'A000000', '16502']

95	['2007.03', 'Other depository institutions', '222', 'Financial assets Closing balance total financial and non-financial assets', 'LE00000', 'AFA0000', '16308']

96	['2007.03', 'Other depository institutions', '222', 'Financial assets Closing balance monetary gold and special drawing rights', 'LE00000', 'AFA0100', '0']

97	['2007.03', 'Other depository institutions', '222', 'Financial assets Closing balance currency and deposits', 'LE00000', 'AFA0200', '..']

98	['2007.03', 'Other depository institutions', '222', 'Financial assets Closing balance debt securities', 'LE00000', 'AFA0300', '10']

99	['2007.03', 'Other depository institutions', '222', 'Financial assets Closing balance loans', 'LE00000', 'AFA0400', '16298']

100	['2007.03', 'Other depository institutions', '222', 'Financial assets Closing balance equity and investment fund shares', 'LE00000', 'AFA0500', '..']

101	['2007.03', 'Other depository institutions', '222', 'Financial assets Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFA0600', '..']

102	['2007.03', 'Other depository institutions', '222', 'Financial assets Closing balance financial derivatives and employee stock options', 'LE00000', 'AFA0700', '..']

103	['2007.03', 'Other depository institutions', '222', 'Financial assets Closing balance other accounts receivable', 'LE00000', 'AFA0800', '..']

104	['2007.03', 'Other depository institutions', '222', 'Financial liabilities Closing balance total financial liabilities', 'LE00000', 'AFL0000', '16502']

105	['2007.03', 'Other depository institutions', '222', 'Financial liabilities Closing balance monetary gold and special drawing rights', 'LE00000', 'AFL0100', '0']

106	['2007.03', 'Other depository institutions', '222', 'Financial liabilities Closing balance currency and deposits', 'LE00000', 'AFL0200', '14569']

107	['2007.03', 'Other depository institutions', '222', 'Financial liabilities Closing balance debt securities', 'LE00000', 'AFL0300', '..']

108	['2007.03', 'Other depository institutions', '222', 'Financial liabilities Closing balance loans', 'LE00000', 'AFL0400', '..']

109	['2007.03', 'Other depository institutions', '222', 'Financial liabilities Closing balance equity and investment fund shares', 'LE00000', 'AFL0500', '1933']

